Date,Team,Relinquished,injury_name,status,year,month,played_season
2010-10-03,Bulls,Carlos Boozer,fractured bone in right pinky finger,out indefinitely,2010,10,2010
2010-10-06,Pistons,Jonas Jerebko,torn right Achilles tendon,out indefinitely,2010,10,2010
2010-10-06,Pistons,Terrico White,broken fifth metatarsal in right foot,out indefinitely,2010,10,2010
2010-10-08,Blazers,Jeff Ayres,torn ACL in right knee,out indefinitely,2010,10,2010
2010-10-08,Nets,Troy Murphy,strained lower back,out indefinitely,2010,10,2010
2010-10-08,Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,"",2010,10,2010
2010-10-08,Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,"",2010,10,2010
2010-10-09,Nuggets,Al Harrington,partially torn plantar fascia in left foot,out indefinitely,2010,10,2010
2010-10-12,Bucks,Darington Hobson,surgery on left hip,out for season,2010,10,2010
2010-10-12,Kings,Samuel Dalembert,strained left groin,out indefinitely,2010,10,2010
2010-10-17,Bobcats,Dominic McGuire,stress fracture in left shin,out indefinitely,2010,10,2010
2010-10-18,Warriors,Lou Amundson,surgery to repair fractured right index finger,out indefinitely,2010,10,2010
2010-10-19,Suns,Josh Childress,fractured right index finger,out indefinitely,2010,10,2010
2010-10-22,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage,out indefinitely,2010,10,2010
2010-10-25,Thunder,Nick Collison,left knee injury,out indefinitely,2010,10,2010
2010-10-25,Timberwolves,Martell Webster,surgery on back,out indefinitely,2010,10,2010
2010-10-26,Blazers,Greg Oden,left knee injury,out for season,2010,10,2010
2010-10-26,Blazers,Joel Przybilla,placed on IL  surgery on right knee to repair ruptured patella tendon,"",2010,10,2010
2010-10-26,Celtics,Avery Bradley,surgery on left ankle,"",2010,10,2010
2010-10-26,Celtics,Kendrick Perkins,surgery on right knee to repair torn ACL,"",2010,10,2010
2010-10-26,Heat,Mario Chalmers,sprained ankle,out indefinitely,2010,10,2010
2010-10-26,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage,"",2010,10,2010
2010-10-26,Lakers,Andrew Bynum,surgery on right knee to repair torn ligaments,"",2010,10,2010
2010-10-26,Lakers,Luke Walton,strained right hamstring,"",2010,10,2010
2010-10-26,Rockets,Kyle Lowry,back spasms,"",2010,10,2010
2010-10-27,Bobcats,Dominic McGuire,stress fracture in left shin,"",2010,10,2010
2010-10-27,Bobcats,Eduardo Najera,sports hernia,"",2010,10,2010
2010-10-27,Bobcats,Kwame Brown,sprained left ankle,"",2010,10,2010
2010-10-27,Bucks,Chris Douglas-Roberts,right eye injury,"",2010,10,2010
2010-10-27,Bucks,Jon Brockman,sprained left ankle,DNP,2010,10,2010
2010-10-27,Bucks,Luc Mbah a Moute,sprained right ankle,DNP,2010,10,2010
2010-10-27,Bucks,Michael Redd,surgery on left knee to repair torn ACL,"",2010,10,2010
2010-10-27,Bulls,Carlos Boozer,fractured bone in right pinky finger,"",2010,10,2010
2010-10-27,Cavaliers,Mo Williams,groin injury,"",2010,10,2010
2010-10-27,Clippers,Craig Smith,back injury,"",2010,10,2010
2010-10-27,Grizzlies,Greivis Vasquez,surgery on right ankle to remove bone spur,"",2010,10,2010
2010-10-27,Grizzlies,Marc Gasol,sprained right ankle / left ankle,"",2010,10,2010
2010-10-27,Hawks,Pape Sy,strained lower back,"",2010,10,2010
2010-10-27,Jazz,Mehmet Okur,surgery to repair torn left Achilles tendon,"",2010,10,2010
2010-10-27,Kings,Samuel Dalembert,strained left abductor,"",2010,10,2010
2010-10-27,Knicks,Anthony Randolph,sprained left ankle,"",2010,10,2010
2010-10-27,Knicks,Eddy Curry,strained right hamstring,"",2010,10,2010
2010-10-27,Knicks,Kelenna Azubuike,arthroscopic surgery on right knee,"",2010,10,2010
2010-10-27,Mavericks,Rodrigue Beaubois,fractured left foot,"",2010,10,2010
2010-10-27,Nets,Troy Murphy,strained lower back,"",2010,10,2010
2010-10-27,Nuggets,Chris Andersen,surgery on right knee to repair partially torn patella tendon,"",2010,10,2010
2010-10-27,Nuggets,Kenyon Martin,surgery on left knee,"",2010,10,2010
2010-10-27,Pistons,Chris Wilcox,sore left hamstring,"",2010,10,2010
2010-10-27,Pistons,Jonas Jerebko,surgery to repair torn right Achilles tendon,out for season,2010,10,2010
2010-10-27,Pistons,Terrico White,surgery on right foot to repair broken fifth metatarsal,out for season,2010,10,2010
2010-10-27,Raptors,Ed Davis,arthroscopic surgery on right kene to repair torn meniscus,"",2010,10,2010
2010-10-27,Spurs,Tiago Splitter,strained right plantaris muscle / calf injury,CBC,2010,10,2010
2010-10-27,Thunder,Nick Collison,stress reaction in lower left leg,"",2010,10,2010
2010-10-27,Timberwolves,Jonny Flynn,surgery on left hip,"",2010,10,2010
2010-10-27,Timberwolves,Martell Webster,surgery on back,"",2010,10,2010
2010-10-27,Timberwolves,Maurice Ager,bruised left quadriceps,"",2010,10,2010
2010-10-27,Warriors,Ekpe Udoh,surgery on left wrist,"",2010,10,2010
2010-10-27,Warriors,Lou Amundson,surgery to repair fractured right index finger,"",2010,10,2010
2010-10-28,Grizzlies,Zach Randolph,back injury,DTD,2010,10,2010
2010-10-28,Hawks,Maurice Evans,right knee inflammation,DTD,2010,10,2010
2010-10-28,Spurs,Matt Bonner,sprained right ankle,DTD,2010,10,2010
2010-10-28,Wizards,Gilbert Arenas,sprained right ankle,"",2010,10,2010
2010-10-28,Wizards,Josh Howard,torn ACL in left knee,"",2010,10,2010
2010-10-29,Celtics,Jermaine O'Neal,left knee injury,"",2010,10,2010
2010-10-29,Grizzlies,Zach Randolph,bruised tailbone,"",2010,10,2010
2010-10-29,Hawks,Maurice Evans,right knee inflammation,"",2010,10,2010
2010-10-29,Pistons,Will Bynum,sore right hamstring,DNP,2010,10,2010
2010-10-30,Pistons,Will Bynum,sore right hamstring,DNP,2010,10,2010
2010-10-30,Spurs,Matt Bonner,sprained right ankle,"",2010,10,2010
2010-10-31,Clippers,Randy Foye,strained left hamstring,"",2010,10,2010
2010-10-31,Warriors,Stephen Curry,sprained right ankle,"",2010,10,2010
2010-11-01,Clippers,Baron Davis,sore left knee,"",2010,11,2010
2010-11-02,Cavaliers,Antawn Jamison,sore left knee,"",2010,11,2010
2010-11-02,Celtics,Shaquille O'Neal,bruised right knee,"",2010,11,2010
2010-11-02,Pistons,Richard Hamilton,sore right foot,DNP,2010,11,2010
2010-11-02,Pistons,Will Bynum,sore right hamstring,DNP,2010,11,2010
2010-11-03,Hawks,Jamal Crawford,turf toe,DNP,2010,11,2010
2010-11-03,Jazz,Jeremy Evans,sprained right wrist,DNP,2010,11,2010
2010-11-03,Jazz,Kyrylo Fesenko,stomach illness,DNP,2010,11,2010
2010-11-03,Nuggets,Nene Hilario,strained left groin,DNP,2010,11,2010
2010-11-03,Pistons,Richard Hamilton,sore right foot,DNP,2010,11,2010
2010-11-03,Pistons,Will Bynum,sore right hamstring,DNP,2010,11,2010
2010-11-03,Spurs,George Hill,neck injury,"",2010,11,2010
2010-11-03,Timberwolves,Michael Beasley,bruised left hip,"",2010,11,2010
2010-11-03,Warriors,Brandan Wright,stomach virus,DTD,2010,11,2010
2010-11-04,Blazers,Elliot Williams,dislocated patella in right knee,"surgery, out for season",2010,11,2010
2010-11-05,Bucks,Andrew Bogut,migraine headache,DNP,2010,11,2010
2010-11-05,Hawks,Marvin Williams,bone bruise in right knee,DNP,2010,11,2010
2010-11-05,Jazz,Jeremy Evans,sprained right ankle,DNP,2010,11,2010
2010-11-05,Nuggets,Nene Hilario,strained left groin,DNP,2010,11,2010
