TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612761,2018-09-27,Toronto,82,59,23,0.72,34-7,25-16,""
1610612738,2018-09-27,Boston,82,55,27,0.6709999999999999,27-14,28-13,""
1610612755,2018-09-27,Philadelphia,82,52,30,0.634,30-11,22-19,""
1610612739,2018-09-27,Cleveland,82,50,32,0.61,29-12,21-20,""
1610612754,2018-09-27,Indiana,82,48,34,0.585,27-14,21-20,""
1610612748,2018-09-27,Miami,82,44,38,0.537,26-15,18-23,""
1610612749,2018-09-27,Milwaukee,82,44,38,0.537,25-16,19-22,""
1610612764,2018-09-27,Washington,82,43,39,0.524,23-18,20-21,""
1610612765,2018-09-27,Detroit,82,39,43,0.476,25-16,14-27,""
1610612766,2018-09-27,Charlotte,82,36,46,0.439,21-20,15-26,""
1610612752,2018-09-27,New York,82,29,53,0.354,19-22,10-31,""
1610612751,2018-09-27,Brooklyn,82,28,54,0.341,15-26,13-28,""
1610612741,2018-09-27,Chicago,82,27,55,0.329,17-24,10-31,""
1610612753,2018-09-27,Orlando,82,25,57,0.305,17-24,8-33,""
1610612737,2018-09-27,Atlanta,82,24,58,0.293,16-25,8-33,""
