TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612762,2021-05-26,Utah,72,52,20,0.722,31-5,21-15,""
1610612756,2021-05-26,Phoenix,72,51,21,0.708,27-9,24-12,""
1610612743,2021-05-26,Denver,72,47,25,0.653,25-11,22-14,""
1610612746,2021-05-26,LA Clippers,72,47,25,0.653,26-10,21-15,""
1610612742,2021-05-26,Dallas,72,42,30,0.583,21-15,21-15,""
1610612747,2021-05-26,L.A. Lakers,72,42,30,0.583,21-15,21-15,""
1610612757,2021-05-26,Portland,72,42,30,0.583,20-16,22-14,""
1610612744,2021-05-26,Golden State,72,39,33,0.542,25-11,14-22,""
1610612763,2021-05-26,Memphis,72,38,34,0.528,18-18,20-16,""
1610612759,2021-05-26,San Antonio,72,33,39,0.458,14-22,19-17,""
1610612740,2021-05-26,New Orleans,72,31,41,0.431,18-18,13-23,""
1610612758,2021-05-26,Sacramento,72,31,41,0.431,16-20,15-21,""
1610612750,2021-05-26,Minnesota,72,23,49,0.319,13-23,10-26,""
1610612760,2021-05-26,Oklahoma City,72,22,50,0.306,10-26,12-24,""
1610612745,2021-05-26,Houston,72,17,55,0.236,9-27,8-28,""
