PLAYER_NAME,year,totalPts,totalPf,totalTo,totalBlk,totalStl,totalAst,totalReb,totalDreb,totalOreb,totalFta,totalFtm,totalFg3a,totalFg3m,totalFga,totalFgm,totalGames,totalEfficiency,injury_name,status,count,player_position,team_abbreviation,age,player_height,player_weight
AJ Price,2011,338.0,63.0,56.0,1.0,30.0,104.0,75.0,57.0,18.0,85.0,58.0,152.0,44.0,334.0,118.0,50.0,1.0,strep throat,DNP,2,PG,IND,25.0,187.96,83.91452
AJ Price,2012,396.0,72.0,75.0,3.0,36.0,202.0,133.0,104.0,29.0,63.0,51.0,189.0,65.0,376.0,140.0,73.0,-39.0,fractured right hand,DNP,15,PG,WAS,26.0,187.96,83.91452
Aaron Brooks,2012,317.0,67.0,52.0,6.0,20.0,92.0,57.0,50.0,7.0,45.0,35.0,110.0,44.0,254.0,119.0,35.0,-96.0,sore left ankle,DNP,2,PG,HOU,28.0,182.88,73.02831
Aaron Brooks,2013,392.0,98.0,69.0,11.0,33.0,116.0,90.0,63.0,27.0,66.0,56.0,141.0,50.0,349.0,143.0,65.0,-132.0,tendinitis in knee,DNP,1,PG,DEN,29.0,182.88,73.02831
Aaron Brooks,2015,950.0,195.0,140.0,17.0,53.0,244.0,197.0,155.0,42.0,167.0,133.0,350.0,129.0,852.0,344.0,92.0,160.0,strained left hamstring,DTD,2,PG,CHI,31.0,182.88,73.02831
Aaron Brooks,2016,468.0,148.0,97.0,11.0,42.0,206.0,95.0,76.0,19.0,63.0,50.0,188.0,60.0,467.0,179.0,80.0,-75.0,sore knee,DTD,4,PG,IND,32.0,182.88,73.02831
Aaron Gordon,2014,115.0,25.0,21.0,9.0,6.0,15.0,66.0,46.0,20.0,29.0,18.0,18.0,9.0,86.0,44.0,18.0,-21.0,fractured left foot,DTD,4,PF,ORL,19.0,205.74,99.79024
Aaron Gordon,2015,403.0,132.0,55.0,42.0,42.0,61.0,288.0,196.0,92.0,107.0,77.0,79.0,22.0,346.0,152.0,69.0,-119.0,ankle injury,DTD,3,PF,ORL,20.0,205.74,99.79024
Aaron Gordon,2016,909.0,169.0,81.0,49.0,66.0,156.0,534.0,390.0,144.0,212.0,137.0,218.0,66.0,784.0,353.0,85.0,-149.0,bone bruise in right foot,DTD,1,PF,ORL,21.0,205.74,99.79024
Aaron Gordon,2019,1244.0,171.0,166.0,52.0,57.0,291.0,588.0,453.0,135.0,275.0,198.0,357.0,112.0,1087.0,467.0,84.0,-63.0,bruised right ankle,out indefinitely,6,PF,ORL,24.0,203.2,106.59412
Aaron Gray,2012,233.0,167.0,68.0,20.0,28.0,37.0,329.0,237.0,92.0,64.0,33.0,0.0,0.0,190.0,100.0,67.0,-190.0,flu,DNP,1,C,TOR,28.0,213.36,122.46984
Aaron Gray,2013,100.0,78.0,33.0,8.0,3.0,30.0,133.0,81.0,52.0,33.0,18.0,1.0,0.0,85.0,41.0,41.0,-66.0,placed on IL,P,5,C,SAC,29.0,213.36,122.46984
Abdel Nader,2018,168.0,48.0,35.0,8.0,14.0,25.0,77.0,65.0,12.0,46.0,29.0,63.0,21.0,162.0,59.0,59.0,-75.0,illness,DTD,1,F,OKC,25.0,198.12,102.0582
Abdel Nader,2019,387.0,97.0,49.0,23.0,26.0,38.0,146.0,127.0,19.0,70.0,52.0,162.0,55.0,329.0,140.0,75.0,-165.0,sprained left ankle,DTD,3,F,OKC,26.0,195.58,102.0582
Adam Mokoka,2019,19.0,8.0,4.0,0.0,1.0,3.0,6.0,3.0,3.0,8.0,7.0,11.0,0.0,24.0,6.0,7.0,-57.0,right eye injury,DTD,1,G,CHI,21.0,195.58,86.18248
Adonis Thomas,2013,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,"",placed on IL,P,1,SF,PHI,21.0,200.66,108.86208
Adreian Payne,2016,131.0,60.0,34.0,9.0,15.0,22.0,81.0,61.0,20.0,37.0,25.0,30.0,4.0,134.0,51.0,43.0,-134.0,thrombocytopenia,blood disorder,1,PF,MIN,26.0,208.28,107.501305
Al Harrington,2010,1029.0,205.0,115.0,17.0,51.0,110.0,357.0,292.0,65.0,223.0,167.0,388.0,148.0,845.0,357.0,70.0,-106.0,partially torn plantar fascia in left foot,out indefinitely,6,PF,DEN,31.0,205.74,113.398
Al Harrington,2011,519.0,127.0,65.0,3.0,32.0,58.0,212.0,155.0,57.0,77.0,57.0,211.0,72.0,451.0,195.0,54.0,113.0,right knee injury,DNP,2,PF,DEN,32.0,205.74,113.398
Al Harrington,2012,913.0,183.0,109.0,13.0,53.0,93.0,400.0,326.0,74.0,182.0,123.0,317.0,104.0,798.0,343.0,67.0,146.0,right knee rehab / surgery on left knee,CBC,2,PF,ORL,33.0,205.74,111.13004
Al Harrington,2013,163.0,46.0,27.0,2.0,11.0,23.0,54.0,47.0,7.0,24.0,17.0,79.0,26.0,155.0,60.0,22.0,-92.0,sore right knee,DTD,7,PF,WAS,34.0,205.74,111.13004
Al Horford,2012,634.0,90.0,76.0,46.0,38.0,127.0,388.0,286.0,102.0,122.0,78.0,2.0,0.0,514.0,278.0,44.0,119.0,stomach virus,DNP,8,C,ATL,27.0,208.28,113.398
Al Horford,2013,1546.0,187.0,184.0,105.0,96.0,256.0,818.0,611.0,207.0,242.0,167.0,16.0,7.0,1246.0,686.0,86.0,115.0,torn right pectoral muscle,out for season,3,C,ATL,28.0,208.28,113.398
Al Horford,2014,477.0,54.0,38.0,45.0,25.0,97.0,218.0,169.0,49.0,53.0,40.0,16.0,5.0,416.0,216.0,35.0,83.0,illness,DTD,5,C,ATL,29.0,208.28,113.398
Al Horford,2019,1146.0,171.0,117.0,86.0,80.0,356.0,598.0,451.0,147.0,122.0,98.0,285.0,102.0,946.0,473.0,85.0,319.0,sore left knee,DTD,4,C,PHI,34.0,205.74,108.86208
Al Jefferson,2011,1044.0,163.0,67.0,100.0,31.0,101.0,540.0,365.0,175.0,185.0,134.0,0.0,0.0,913.0,455.0,54.0,-206.0,sprained right ankle,DNP,3,C,UTA,27.0,208.28,131.08809
Al Jefferson,2012,1808.0,254.0,113.0,146.0,86.0,214.0,952.0,742.0,210.0,279.0,223.0,12.0,3.0,1614.0,791.0,101.0,59.0,back spasms,DNP,4,C,UTA,28.0,208.28,131.08809
Al Jefferson,2014,1933.0,210.0,146.0,96.0,67.0,190.0,898.0,744.0,154.0,314.0,223.0,13.0,2.0,1682.0,854.0,92.0,-169.0,strained adductor muscle in left groin,out indefinitely,4,C,CHA,30.0,208.28,131.08809
