PLAYER_NAME,season,PLAYER_ID,TEAM_ID,avg(FGM),avg(FGA),avg(FG3M),avg(FG3A),avg(FTM),avg(FTA),avg(OREB),avg(DREB),avg(REB),avg(AST),avg(STL),avg(BLK),avg(TO),avg(PF),avg(PTS),avg(PLUS_MINUS),sum(FGM),sum(FGA),sum(FG3M),sum(FG3A),sum(FTM),sum(FTA),sum(OREB),sum(DREB),sum(REB),sum(AST),sum(STL),sum(BLK),sum(TO),sum(PF),sum(PTS),sum(PLUS_MINUS),sum(ifminute),avg(seconds),sum(seconds),age,player_height,player_weight,injuries,salary
Al-Farouq Aminu,2010,202329,1610612746,2.55,6.0,1.0,2.325,1.025,1.4,1.125,2.55,3.675,0.7,0.7,0.2,1.6,1.925,7.125,-0.8125,102.0,240.0,40.0,93.0,41.0,56.0,45.0,102.0,147.0,28.0,28.0,8.0,64.0,77.0,285.0,-26.0,40,863.95,34558.0,20.0,205.74,97.52228000000001,"",2563320
Al-Farouq Aminu,2011,202329,1610612746,1.6326530612244898,4.571428571428571,0.2653061224489796,1.510204081632653,1.2653061224489797,1.5714285714285714,0.8979591836734694,2.183673469387755,3.0816326530612246,0.7959183673469388,0.7142857142857143,0.3877551020408163,1.1224489795918366,1.3877551020408163,4.795918367346939,-3.2244897959183674,80.0,224.0,13.0,74.0,62.0,77.0,44.0,107.0,151.0,39.0,35.0,19.0,55.0,68.0,235.0,-158.0,49,1075.591836734694,52704.0,21.0,205.74,97.52228000000001,"",2755560
Al-Farouq Aminu,2011,202329,1610612740,0.75,2.25,0.0,0.5,1.5,2.0,1.25,3.0,4.25,0.5,0.5,0.25,1.0,2.5,3.0,2.0,3.0,9.0,0.0,2.0,6.0,8.0,5.0,12.0,17.0,2.0,2.0,1.0,4.0,10.0,12.0,6.0,4,577.0,2308.0,21.0,205.74,97.52228000000001,"",2755560
Al-Farouq Aminu,2012,202329,1610612740,2.6382978723404253,6.180851063829787,0.18085106382978725,0.6808510638297872,1.4148936170212767,1.925531914893617,1.4680851063829787,3.6914893617021276,5.159574468085107,1.1808510638297873,1.0106382978723405,0.5531914893617021,1.6063829787234043,2.0851063829787235,6.872340425531915,-1.1379310344827587,248.0,581.0,17.0,64.0,133.0,181.0,138.0,347.0,485.0,111.0,95.0,52.0,151.0,196.0,646.0,-99.0,94,1320.3191489361702,124110.0,22.0,205.74,97.52228000000001,"",2947800
Al-Farouq Aminu,2013,202329,1610612740,2.9886363636363638,6.068181818181818,0.07954545454545454,0.3181818181818182,1.1704545454545454,1.6931818181818181,1.8977272727272727,5.761363636363637,7.659090909090909,1.375,1.3295454545454546,0.6704545454545454,1.2613636363636365,1.8522727272727273,7.2272727272727275,-0.3375,263.0,534.0,7.0,28.0,103.0,149.0,167.0,507.0,674.0,121.0,117.0,59.0,111.0,163.0,636.0,-27.0,88,1468.2386363636363,129205.0,23.0,205.74,97.52228000000001,"",3700000
Al-Farouq Aminu,2014,202329,1610612742,2.108108108108108,4.8108108108108105,0.5135135135135135,2.027027027027027,1.0810810810810811,1.4054054054054055,0.918918918918919,3.081081081081081,4.0,0.6216216216216216,0.6486486486486487,0.6486486486486487,0.6756756756756757,1.6216216216216217,5.8108108108108105,0.972972972972973,78.0,178.0,19.0,75.0,40.0,52.0,34.0,114.0,148.0,23.0,24.0,24.0,25.0,60.0,215.0,36.0,37,987.1081081081081,36523.0,24.0,205.74,97.52228000000001,"",981084
Al-Farouq Aminu,2014,202329,1610612740,2.7884615384615383,6.096153846153846,0.17307692307692307,0.6538461538461539,1.2692307692307692,1.75,1.4038461538461537,4.384615384615385,5.788461538461538,1.3846153846153846,0.8653846153846154,0.40384615384615385,1.1730769230769231,1.9615384615384615,7.019230769230769,-4.6923076923076925,145.0,317.0,9.0,34.0,66.0,91.0,73.0,228.0,301.0,72.0,45.0,21.0,61.0,102.0,365.0,-244.0,52,1541.0192307692307,80133.0,24.0,205.74,97.52228000000001,"",981084
Al-Farouq Aminu,2015,202329,1610612742,2.2,5.32,0.58,1.72,1.58,2.14,2.14,3.5,5.64,0.98,1.3,1.02,0.9,2.22,6.56,1.48,110.0,266.0,29.0,86.0,79.0,107.0,107.0,175.0,282.0,49.0,65.0,51.0,45.0,111.0,328.0,74.0,50,1296.84,64842.0,25.0,205.74,97.52228000000001,1,7500000
Al-Farouq Aminu,2015,202329,1610612757,3.8947368421052633,9.605263157894736,1.4473684210526316,4.157894736842105,1.5789473684210527,2.1315789473684212,1.236842105263158,5.394736842105263,6.631578947368421,1.7105263157894737,0.8157894736842105,0.631578947368421,1.894736842105263,2.3157894736842106,10.81578947368421,0.42105263157894735,148.0,365.0,55.0,158.0,60.0,81.0,47.0,205.0,252.0,65.0,31.0,24.0,72.0,88.0,411.0,16.0,38,1786.3157894736842,67880.0,25.0,205.74,97.52228000000001,1,7500000
Al-Farouq Aminu,2016,202329,1610612757,3.3950617283950617,8.271604938271604,1.5555555555555556,4.407407407407407,1.271604938271605,1.8024691358024691,1.271604938271605,4.8765432098765435,6.148148148148148,1.691358024691358,0.8765432098765432,0.654320987654321,1.3580246913580247,1.962962962962963,9.617283950617283,0.32098765432098764,275.0,670.0,126.0,357.0,103.0,146.0,103.0,395.0,498.0,137.0,71.0,53.0,110.0,159.0,779.0,26.0,81,1661.1358024691358,134552.0,26.0,205.74,99.79024,3,7680965
